,time,close,volume,change,hour,day_of_week,month,is_weekend,sma_20,sma_50,rsi,high_low_pct,volatility,price_position,volume_ma,volume_ratio,change_1d,change_3d,change_7d,future_change,price_trend,volatility_level,volume_level,rsi_zone,trading_session,trend_position,target
count,101156,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156.0,101156,101156,101156,101156,101156,101156,101156.0
unique,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2,
top,,,,,,,,,,,,,,,,,,,,,Flat,Low,Low,Neutral,Asian,False,
freq,,,,,,,,,,,,,,,,,,,,,100286,101040,48363,73380,37931,100775,
mean,2015-09-19 16:47:16.019612928,1.4715314690181502,9546.193374589742,-0.0004009011063052516,11.498843370635454,2.179445608762703,6.561746213768832,0.03595436751156629,1.4716045226284153,1.4717225505516236,49.933945603476104,50.04917166856611,0.1129906234068858,0.49773616987623076,9555.95142403812,1.0484485752229264,-0.0004052152795124634,-0.0003971946779359601,-0.0004012622701839481,-0.0004059816252305242,,,,,,,0.49829965597690695
min,2007-08-15 04:00:00,1.04,1.0,-5.724838411819022,0.0,0.0,1.0,0.0,1.066689,1.0714333999999999,0.22460262612334247,0.0,0.016100818779299208,0.0,794.9,0.0003257169845121574,-5.724838411819022,-5.724838411819022,-5.724838411819022,-5.724838411819022,,,,,,,0.0
25%,2011-08-29 21:45:00,1.3011675,3201.0,-0.05050814345296806,6.0,1.0,4.0,0.0,1.3011438750000002,1.30130955,37.24434755333456,15.221885476625152,0.07435019804360765,0.0,5091.65,0.4718929804094262,-0.05051449042438316,-0.05050814345296806,-0.05051107116488818,-0.05051449042438316,,,,,,,0.0
50%,2015-09-18 02:30:00,1.46465,5866.0,0.0,11.0,2.0,7.0,0.0,1.46459375,1.4641523,49.96177260545387,49.892699415603744,0.09821623173654218,0.0,6836.6,0.8491075857219916,0.0,0.0,0.0,0.0,,,,,,,0.0
75%,2019-10-09 18:15:00,1.59681,10654.0,0.05040460048628126,17.0,3.0,10.0,0.0,1.5970113750000001,1.5972516500000002,62.65956418834985,85.17627280452572,0.13037552803542954,1.0,9554.4125,1.5495591106217912,0.05040220022717312,0.05040220022717312,0.05039615241449469,0.050391599277938015,,,,,,,1.0
max,2023-10-27 19:00:00,2.1124,702044.0,2.2487878281223894,23.0,6.0,12.0,1.0,2.11008,2.105595,99.83987189751875,100.0,1.6377344234603979,1.0,422047.9,17.792742858352092,2.2487878281223894,2.2487878281223894,2.2487878281223894,2.2487878281223894,,,,,,,1.0
std,,0.20349961722311924,20330.977535485104,0.1309110494368858,6.919722900575856,1.4660971965278236,3.432182362052786,0.18617731770333903,0.2035196537303979,0.20355760628269853,17.385561255733066,35.860195675846086,0.06652823771926533,0.49999734647016364,16826.41020451392,0.7136840285685514,0.130916305220546,0.1309091690764257,0.13091121641910203,0.13091033792739004,,,,,,,0.49999958025614366
