,total missing,proportion
time,0,0.0
close,0,0.0
volume,0,0.0
change,1,0.00019719976336028398
hour,0,0.0
day_of_week,0,0.0
month,0,0.0
is_weekend,0,0.0
sma_20,23,0.004535594557286532
sma_50,47,0.009268388877933346
rsi,14,0.0027607966870439754
high_low_pct,23,0.004535594557286532
volatility,24,0.004732794320646815
price_position,0,0.0
volume_ma,23,0.004535594557286532
volume_ratio,23,0.004535594557286532
change_1d,2,0.00039439952672056796
change_2d,3,0.0005915992900808519
change_5d,6,0.0011831985801617037
future_change,1,0.00019719976336028398
price_trend,1,0.00019719976336028398
volatility_level,24,0.004732794320646815
volume_level,23,0.004535594557286532
rsi_zone,14,0.0027607966870439754
trading_session,0,0.0
trend_position,0,0.0
target,0,0.0
